Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Population,AQI value country,AQI category (country)
India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy,1417173173,152.5597283,Unhealthy
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,60367477,61.69844358,Moderate
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,332915073,59.61860625,Moderate
India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy,1417173173,152.5597283,Unhealthy
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,38268000,52.46015424,Moderate
India,Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
Brazil,Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good,214326223,44.64993726,Good
China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,214326223,44.64993726,Good
India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate,1417173173,152.5597283,Unhealthy
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,52015000,65.90079365,Moderate
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,19053000,53.85849057,Moderate
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,145805947,42.49115756,Good
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,67842000,53.23133415,Moderate
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,332915073,59.61860625,Moderate
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,276361783,91.54822335,Moderate
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,214326223,44.64993726,Good
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,5548000,38.08235294,Good
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,60041000,112.9085714,Unhealthy for Sensitive Groups
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,332915073,59.61860625,Moderate
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,67532000,39.5971897,Good
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,332915073,59.61860625,Moderate
United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,332915073,59.61860625,Moderate
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,214326223,44.64993726,Good
China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,145805947,42.49115756,Good
United Republic of Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate,67738000,31.65367965,Good
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,1417173173,152.5597283,Unhealthy
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,332915073,59.61860625,Moderate
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,11736000,44.58098592,Good
Egypt,Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate,106156000,101.65,Unhealthy for Sensitive Groups
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,11537000,101.7222222,Unhealthy for Sensitive Groups
United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,332915073,59.61860625,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,67532000,39.5971897,Good
United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,332915073,59.61860625,Moderate
Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy,240485658,178.7045455,Unhealthy
India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,1417173173,152.5597283,Unhealthy
Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy,240485658,178.7045455,Unhealthy
Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good,18117000,67.8,Moderate
Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,114337000,60.52974504,Moderate
Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,1758000,39.65217391,Good
United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,332915073,59.61860625,Moderate
Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,17442000,38.15282392,Good
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,332915073,59.61860625,Moderate
United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,332915073,59.61860625,Moderate
Poland,Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good,38268000,52.46015424,Moderate
Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,52015000,65.90079365,Moderate
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,60367477,61.69844358,Moderate
Chad,Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate,18776000,75.33333333,Moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,67532000,39.5971897,Good
Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate,114337000,60.52974504,Moderate
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,145805947,42.49115756,Good
United States of America,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good,332915073,59.61860625,Moderate
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,332915073,59.61860625,Moderate
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,83237000,48.24684015,Good
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,83237000,48.24684015,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,67532000,39.5971897,Good
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,332915073,59.61860625,Moderate
Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good,214326223,44.64993726,Good
India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy,1417173173,152.5597283,Unhealthy
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,83237000,48.24684015,Good
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,83237000,48.24684015,Good
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,332915073,59.61860625,Moderate
India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate,1417173173,152.5597283,Unhealthy
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,83237000,48.24684015,Good
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,67842000,53.23133415,Moderate
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,332915073,59.61860625,Moderate
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,5134000,30.56521739,Good
Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate,12356000,70.90909091,Moderate
Viet Nam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good,99711000,86.63492063,Moderate
Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy,88550000,108.2960894,Unhealthy for Sensitive Groups
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,60367477,61.69844358,Moderate
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,1417173173,152.5597283,Unhealthy
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,214326223,44.64993726,Good
Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy,126190788,89.11260504,Moderate
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,126190788,89.11260504,Moderate
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,60367477,61.69844358,Moderate
Viet Nam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups,99711000,86.63492063,Moderate
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good,276361783,91.54822335,Moderate
Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good,19053000,53.85849057,Moderate
Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good,12356000,70.90909091,Moderate
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,114337000,60.52974504,Moderate
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,123294513,51.57201646,Moderate
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,126190788,89.11260504,Moderate
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,214326223,44.64993726,Good
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,214326223,44.64993726,Good
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,214326223,44.64993726,Good
Mexico,Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate,126190788,89.11260504,Moderate
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,6518000,97.36363636,Moderate
United Republic of Tanzania,Izazi,28,Good,1,Good,15,Good,0,Good,28,Good,67738000,31.65367965,Good
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,145805947,42.49115756,Good
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,1417173173,152.5597283,Unhealthy
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,214326223,44.64993726,Good
India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy,1417173173,152.5597283,Unhealthy
Bulgaria,Jambol,40,Good,1,Good,40,Good,0,Good,32,Good,6500000,54.04545455,Moderate
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,38268000,52.46015424,Moderate
Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,114337000,60.52974504,Moderate
Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,223804632,100.1103448,Unhealthy for Sensitive Groups
Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,5548000,38.08235294,Good
Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,214326223,44.64993726,Good
Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,114337000,60.52974504,Moderate
Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,214326223,44.64993726,Good
Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,223804632,100.1103448,Unhealthy for Sensitive Groups
Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,126190788,89.11260504,Moderate
Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,214326223,44.64993726,Good
Brazil,Itambe,21,Good,0,Good,8,Good,1,Good,21,Good,214326223,44.64993726,Good
Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,214326223,44.64993726,Good
South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,11193000,60.33333333,Moderate
Guatemala,Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate,20318000,80.95041322,Moderate
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,332915073,59.61860625,Moderate
United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,332915073,59.61860625,Moderate
Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,5084000,41.09375,Good
Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,87849000,51.59109312,Moderate
Viet Nam,Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups,99711000,86.63492063,Moderate
United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,332915073,59.61860625,Moderate
United States of America,Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,Moderate,332915073,59.61860625,Moderate
Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,145805947,42.49115756,Good
India,Udupi,80,Moderate,1,Good,25,Good,0,Good,80,Moderate,1417173173,152.5597283,Unhealthy
India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,1417173173,152.5597283,Unhealthy
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,332915073,59.61860625,Moderate
United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,332915073,59.61860625,Moderate
United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,332915073,59.61860625,Moderate
United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,332915073,59.61860625,Moderate
China,Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,Good,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
Peru,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good,34295000,36.3875969,Good
China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,102262000,114.8142857,Unhealthy for Sensitive Groups
China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Yangliuqing,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good,332915073,59.61860625,Moderate
Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate,83237000,48.24684015,Good
United States of America,West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,Moderate,332915073,59.61860625,Moderate
Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate,11736000,44.58098592,Good
Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,38067000,42.90344828,Good
Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good,5084000,41.09375,Good
Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,8799000,55.21551724,Moderate
Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate,83237000,48.24684015,Good
United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate,332915073,59.61860625,Moderate
United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate,332915073,59.61860625,Moderate
Brazil,Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,Good,214326223,44.64993726,Good
Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,5778000,38.078125,Good
United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good,332915073,59.61860625,Moderate
Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good,83237000,48.24684015,Good
Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good,123294513,51.57201646,Moderate
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good,67532000,39.5971897,Good
Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good,83237000,48.24684015,Good
Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good,83237000,48.24684015,Good
Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,28524000,69.015625,Moderate
Somalia,Garowe,98,Moderate,0,Good,17,Good,0,Good,98,Moderate,18117000,67.8,Moderate
Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good,17442000,38.15282392,Good
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,26187000,33.64893617,Good
Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,83237000,48.24684015,Good
Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups,52015000,65.90079365,Moderate
Russian Federation,Glubokiy,35,Good,1,Good,35,Good,0,Good,17,Good,145805947,42.49115756,Good
United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good,67532000,39.5971897,Good
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,10196000,34.56707317,Good
Russian Federation,Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,Good,145805947,42.49115756,Good
India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous,1417173173,152.5597283,Unhealthy
Côte d'Ivoire,Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,Moderate,27745000,53.28358209,Moderate
United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate,332915073,59.61860625,Moderate
Sweden,Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good,10452000,35.87619048,Good
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,332915073,59.61860625,Moderate
Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good,83237000,48.24684015,Good
China,Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,126527000,78.73170732,Moderate
Nigeria,Idanre,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,Unhealthy for Sensitive Groups,223804632,100.1103448,Unhealthy for Sensitive Groups
Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate,60367477,61.69844358,Moderate
Germany,Ihlow,40,Good,1,Good,30,Good,2,Good,40,Good,83237000,48.24684015,Good
Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good,123294513,51.57201646,Moderate
Thailand,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate,70927000,53.56972112,Moderate
Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good,276361783,91.54822335,Moderate
Russian Federation,Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,Moderate,145805947,42.49115756,Good
Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate,123294513,51.57201646,Moderate
Poland,Swiecie,44,Good,1,Good,33,Good,1,Good,44,Good,38268000,52.46015424,Moderate
Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,9636000,63.6056338,Moderate
Hungary,Szerencs,72,Moderate,1,Good,42,Good,1,Good,72,Moderate,9636000,63.6056338,Moderate
Tunisia,Taburbah,49,Good,1,Good,49,Good,1,Good,32,Good,12356000,70.90909091,Moderate
India,Tadepallegudem,127,Unhealthy for Sensitive Groups,2,Good,65,Moderate,1,Good,127,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate,88550000,108.2960894,Unhealthy for Sensitive Groups
Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good,114337000,60.52974504,Moderate
Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate,123294513,51.57201646,Moderate
Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good,123294513,51.57201646,Moderate
Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good,123294513,51.57201646,Moderate
India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy,1417173173,152.5597283,Unhealthy
Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good,114337000,60.52974504,Moderate
Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good,145805947,42.49115756,Good
Kazakhstan,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate,19632700,61.21126761,Moderate
United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate,332915073,59.61860625,Moderate
Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,9000000,87.82608696,Moderate
Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate,123294513,51.57201646,Moderate
Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good,19053000,53.85849057,Moderate
Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good,114337000,60.52974504,Moderate
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,276361783,91.54822335,Moderate
Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good,87849000,51.59109312,Moderate
India,Yaval,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups,1417173173,152.5597283,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate,67532000,39.5971897,Good
China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Poland,Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good,38268000,52.46015424,Moderate
Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good,38268000,52.46015424,Moderate
Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate,11736000,44.58098592,Good
Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate,11736000,44.58098592,Good
China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy,1412600000,127.1339174,Unhealthy for Sensitive Groups
Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate,126190788,89.11260504,Moderate
Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy,126190788,89.11260504,Moderate
Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good,145805947,42.49115756,Good
Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good,17442000,38.15282392,Good
Spain,Abaran,47,Good,1,Good,21,Good,2,Good,47,Good,47300000,38.67356322,Good
Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate,60367477,61.69844358,Moderate
Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups,27745000,53.28358209,Moderate
Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy,126190788,89.11260504,Moderate
United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate,332915073,59.61860625,Moderate
